#{"t_start": 1733529361.793109, "env_id": "BipedalWalker-v3"}
r,l,t
-103.386006,90,74.223604
-103.332735,90,74.251574
-103.910739,92,74.278767
-103.062759,85,74.303981
-103.593832,88,74.331422
-114.812168,100,143.418445
-114.934215,97,143.446695
-114.645317,97,143.473942
-114.807238,97,143.502397
-143.096354,232,143.565412
-73.189667,1600,213.970671
-75.644403,1600,214.393478
-67.717304,1600,214.830216
-75.676725,1600,215.254573
-73.607208,1600,215.680588
-120.237771,56,294.476675
-120.228604,56,294.495449
-120.119131,56,294.513726
-119.947142,56,294.532701
-120.138961,56,294.550829
-42.4694,1600,375.521565
-122.277324,97,375.553805
-125.377122,140,375.598687
-52.219773,1600,376.082964
-122.761525,99,376.115696
-74.335119,1600,456.618743
-76.134561,1600,457.153528
-75.77952,1600,457.650962
-64.263463,1600,458.135974
-59.321998,1600,458.602999
-133.513113,152,565.320955
-35.099343,1600,565.803699
-39.647534,1600,566.304649
-51.505828,1600,566.790497
-39.420865,1600,567.288143
-47.314772,1600,679.07505
-48.796522,1600,679.661741
-35.374857,1600,680.182617
-34.155873,1600,680.710671
-34.25471,1600,681.242164
-120.628678,74,792.691329
-124.375807,171,792.744559
-119.109414,69,792.768624
-119.075001,69,792.792443
-119.930704,72,792.817357
-62.681782,1600,910.178358
-56.192354,1600,910.718062
-58.088474,1600,911.247062
-112.185479,110,911.28379
-121.708864,210,911.351011
-38.693223,1600,1033.941014
-46.145895,1600,1034.498138
-40.45964,1600,1035.048501
-48.316096,1600,1035.582545
-41.53446,1600,1036.109082
-78.892961,1600,1163.21523
-48.371754,1600,1163.721195
-52.686081,1600,1164.244114
-54.259966,1600,1164.745369
-57.115906,1600,1165.245169
-74.775862,1600,1275.876086
-55.311282,1600,1276.3547
-59.955357,1600,1276.827579
-57.966279,1600,1277.363982
-42.911055,1600,1277.869615
-97.666688,1600,1385.56224
-99.365662,1600,1386.051912
-99.092252,1600,1386.541635
-87.497242,1600,1387.038488
-69.566314,1600,1387.502898
-178.746473,1080,1484.202989
-141.626956,455,1484.341175
-120.797564,1600,1485.060364
-143.62163,479,1485.25409
-149.320424,504,1485.417838
-128.916534,115,1586.291803
-127.182728,109,1586.329332
-131.58365,121,1586.372035
-119.664819,75,1586.398369
-132.539064,123,1586.440086
-75.287339,1600,1683.306038
-62.536633,1600,1683.894751
-63.824471,1600,1684.4535
-75.191944,1600,1685.057109
-73.668338,1600,1685.627296
-74.952648,1600,1782.968276
-77.551141,1600,1783.451417
-77.047284,1600,1783.943295
-77.739055,1600,1784.515813
-78.181385,1600,1785.062834
-46.834494,1600,2057.104498
-44.78772,1600,2060.110918
-44.474799,1600,2062.945657
-47.938051,1600,2065.820579
-43.776137,1600,2068.800108
-59.334777,1600,2667.240157
-60.207521,1600,2670.551608
-54.995414,1600,2673.656377
-59.696914,1600,2676.75875
-56.735768,1600,2679.872659
-45.52548,1600,3254.505407
-47.833385,1600,3254.920711
-58.363889,1600,3255.356373
-69.318182,1600,3255.78509
-40.479766,1600,3256.194077
-35.853919,1600,3336.381712
-34.631485,1600,3336.750118
-120.483111,125,3336.780738
-126.652189,114,3336.809356
-35.454543,1600,3337.183583
-37.566923,1600,3424.777328
-31.871181,1600,3425.28185
-36.992461,1600,3425.739987
-133.16075,184,3425.798289
-35.371289,1600,3426.25216
-41.414122,1600,3510.830936
-37.806058,1600,3511.243962
-38.228549,1600,3511.655928
-40.059662,1600,3512.06734
-41.172417,1600,3512.479042
-92.206926,1600,3598.250769
-64.474923,1600,3598.681622
-74.237884,1600,3599.112357
-94.109593,1600,3599.579393
-88.543052,1600,3600.024599
-87.034281,1600,3686.366848
-27.12148,1600,3686.798522
-90.028858,1600,3687.254341
-87.476496,1600,3687.727972
-87.303856,1600,3688.18408
-52.722892,1600,3773.325595
-52.508562,1600,3773.803712
-113.975711,348,3773.897083
-62.24654,1600,3774.335104
-110.955147,175,3774.384584
-109.315308,92,3863.225799
-80.994007,1600,3863.669177
-116.788907,193,3863.723455
-79.587417,1600,3864.160259
-70.563952,1600,3864.592105
-63.587751,1600,3950.588871
-105.874502,105,3950.619881
-106.693035,107,3950.651454
-108.497477,102,3950.681972
-60.977192,1600,3951.107939
-109.992366,146,4043.847416
-95.903882,176,4043.897377
-95.629669,153,4043.940576
-85.268676,1600,4044.384096
-111.041144,117,4044.418181
-107.753858,1600,4136.119025
-105.399807,1600,4136.570958
-52.131142,1600,4137.02718
-102.507749,1600,4137.473937
-111.468537,1600,4137.927655
-89.351909,145,4225.149949
-106.829339,134,4225.192611
-92.186101,148,4225.238646
-102.080664,110,4225.271906
-105.213886,121,4225.307832
-76.805439,1600,4330.734638
-70.775302,1600,4331.210827
-67.587921,1600,4331.677474
-72.834609,1600,4332.137193
-142.766036,298,4332.239331
-128.092465,186,4419.437572
-114.666977,60,4419.455713
-113.797791,59,4419.473121
-63.038302,1600,4419.917582
-114.540303,59,4419.935263
-19.798672,1600,4502.824516
-33.410542,1600,4503.318489
-33.006365,1600,4503.774654
-32.51023,1600,4504.216526
-31.098753,1600,4504.658336
-59.121094,1600,4587.875555
-32.709358,1600,4588.371129
-118.348045,233,4588.438239
-67.69805,1600,4588.887242
-114.69363,222,4588.950403
-35.212964,1600,4672.460683
-35.569658,1600,4672.899388
-35.826419,1600,4673.354184
-39.197857,1600,4673.795143
-35.50946,1600,4674.239631
-73.790815,1600,4758.884357
-77.284527,1600,4759.335928
-51.439325,1600,4759.807851
-35.074531,1600,4760.257695
-80.126304,1600,4760.705492
-40.021332,1600,4844.700815
-64.50333,1600,4845.12198
-39.606831,1600,4845.604177
-77.351077,1600,4846.036311
-44.780534,1600,4846.523407
-71.834508,1600,4930.455652
-72.792796,1600,4930.906755
-70.599227,1600,4931.352251
-76.647892,1600,4931.802802
-89.319552,1600,4932.248086
-50.500697,1600,5016.427857
-50.661141,1600,5016.870216
-54.321013,1600,5017.313903
-59.77393,1600,5017.754663
-55.71236,1600,5018.195372
-43.408879,1600,5102.666304
-61.180631,1600,5103.119622
-48.277085,1600,5103.612324
-50.046283,1600,5104.068242
-57.120766,1600,5104.533851
-38.665903,1600,5189.55372
-35.035627,1600,5190.006519
-23.973866,1600,5190.519928
-32.010921,1600,5191.094127
-35.102236,1600,5191.581017
-22.474516,1600,5277.273068
-83.591629,1600,5277.758077
-19.813364,1600,5278.246882
-26.902478,1600,5278.738417
-19.532379,1600,5279.235811
-75.073227,1600,5373.920756
-77.218206,1600,5374.421466
-54.93507,1600,5374.923773
-72.302804,1600,5375.4163
-74.006022,1600,5375.90545
-19.95951,1600,5464.753984
-25.332994,1600,5465.229346
-21.986359,1600,5465.746748
-18.051102,1600,5466.227188
-16.147823,1600,5466.749707
-43.524473,1600,5554.021826
-119.656853,71,5554.047498
-119.021477,71,5554.071906
-119.5877,71,5554.096372
-120.891909,75,5554.121466
-62.214376,1600,5649.317997
-40.584599,1600,5649.774356
-79.613576,1600,5650.228117
-66.837374,1600,5650.70318
-50.250605,1600,5651.190672
-31.437038,1600,5736.256797
-79.252184,1600,5736.773472
-78.015582,1600,5737.269083
-121.811685,192,5737.325678
-50.651524,1600,5737.792905
-57.345634,1600,5839.786101
-38.837992,1600,5840.34279
-39.216803,1600,5840.940277
-41.322063,1600,5841.574817
-57.998296,1600,5842.084991
-42.909125,1600,5963.945836
-46.442438,1600,5964.707805
-54.558739,1600,5965.430114
-38.371957,1600,5966.016385
-52.2961,1600,5966.767474
-120.891967,185,6066.65285
-46.4357,1600,6067.151043
-40.130136,1600,6067.662587
-83.038104,1600,6068.170537
-47.649536,1600,6068.682135
-65.579315,1600,6163.992591
-61.723944,1600,6164.484912
-58.612663,1600,6164.98606
-58.9771,1600,6165.504802
-78.029017,1600,6165.994837
-52.631243,1600,6259.329907
-38.581885,1600,6259.812386
-53.168735,1600,6260.30091
-51.452774,1600,6260.808439
-52.014413,1600,6261.292953
-82.489219,1600,6355.583568
-37.434063,1600,6356.203424
-62.808909,1600,6356.716565
-40.73082,1600,6357.358779
-85.004162,1600,6357.901791
-54.352778,1600,6462.61382
-72.592314,1600,6463.134659
-42.981134,1600,6463.646932
-113.52022,68,6463.669494
-44.457212,1600,6464.158981
-35.577761,1600,6564.219359
-94.870395,1600,6564.834787
-51.135751,1600,6565.619598
-44.47334,1600,6566.196102
-89.375941,1600,6566.912106
-62.40883,1600,6677.739255
-71.794564,1600,6678.32234
-68.300234,1600,6679.274857
-55.824737,1600,6679.874345
-68.363672,1600,6680.498627
-37.111226,1600,6782.714571
-44.440021,1600,6783.245834
-46.612389,1600,6783.766966
-112.197429,1600,6784.390908
-39.866212,1600,6784.923277
-39.418025,1600,6876.62298
-134.972996,176,6876.685743
-40.933288,1600,6877.217729
-22.057043,1600,6877.764077
-49.286812,1600,6878.263409
-40.42734,1600,6972.198581
-113.943548,251,6972.276014
-42.698001,1600,6972.80539
-45.478448,1600,6973.401294
-42.863523,1600,6973.875357
-25.469183,1600,7068.374988
-21.193643,1600,7068.893319
-41.087188,1600,7069.415917
-61.921898,1600,7069.959975
-76.181116,1600,7070.462874
-83.783605,1600,7157.891004
-50.992278,1600,7158.369216
-134.38103,603,7158.548135
-126.254104,358,7158.654202
-112.415968,231,7158.723667
-24.988178,1600,7246.258837
-121.187165,300,7246.352595
-53.165909,1600,7246.859294
-115.132751,254,7246.940915
-124.521307,151,7246.989608
-80.874809,1600,7336.343897
-96.658204,1600,7336.863245
-56.404851,1600,7337.360089
-30.708561,1600,7337.854133
-87.389839,1600,7338.331937
-75.426446,1600,7426.871166
-42.066643,1600,7427.373603
-61.902782,1600,7427.888478
-62.071238,1600,7428.376838
-68.507008,1600,7428.914645
-80.160739,1600,7517.777053
-86.199547,1600,7518.261488
-85.99709,1600,7518.746006
-78.443928,1600,7519.231623
-81.765079,1600,7519.727151
-102.347524,1600,7608.693784
-36.473633,1600,7609.189316
-29.937752,1600,7609.684739
-49.918877,1600,7610.165241
-73.176314,1600,7610.636331
-33.349797,1600,7691.972039
-53.105211,1600,7692.437862
-22.890232,1600,7692.884956
-60.886407,1600,7693.34814
-24.538404,1600,7693.773339
-61.416139,1600,7774.818215
-45.603928,1600,7775.292629
-63.282023,1600,7775.749324
-127.682258,230,7775.815782
-77.843898,1600,7776.290504
-35.28874,1600,7857.535241
-125.395086,122,7857.573661
-43.592854,1600,7858.056735
-108.834104,179,7858.111633
-54.892048,1600,7858.680785
-36.592596,1600,7954.565383
-118.192097,117,7954.605504
-90.87729,1600,7955.105887
-84.617701,1600,7955.619629
-66.479754,1600,7956.146018
-55.611093,1600,8048.086755
-57.349947,1600,8048.615168
-49.25763,1600,8049.161535
-74.279462,1600,8049.689787
-137.234174,251,8049.773657
-83.097075,1600,8145.165448
-109.868082,189,8145.224103
-69.727889,1600,8145.698926
-36.731052,1600,8146.165973
-33.140127,1600,8146.648509
-50.695657,1600,8243.603224
-50.453407,1600,8244.085415
-47.7027,1600,8244.565417
-49.80466,1600,8245.045205
-50.716339,1600,8245.532065
-63.816158,1600,8340.891231
-41.020775,1600,8341.523739
-53.861701,1600,8342.033747
-51.199033,1600,8342.551592
-59.180281,1600,8343.034849
-21.853826,1600,8446.267333
-33.982646,1600,8446.846032
-22.110628,1600,8447.400121
-55.918439,1600,8447.975352
-23.857918,1600,8448.593953
-63.060979,1600,8551.610475
-51.801067,1600,8552.182834
-48.864099,1600,8552.758936
-50.397138,1600,8553.300053
-62.164617,1600,8553.843665
-42.075085,1600,8655.55504
-41.263429,1600,8656.357284
-46.554216,1600,8656.877075
-36.979342,1600,8657.399282
-34.556078,1600,8657.915473
-96.997675,1600,8752.462082
-85.828301,1600,8752.96098
-87.526799,1600,8753.453761
-87.199624,1600,8753.942364
-86.817994,1600,8754.433305
-29.507234,1600,8851.083537
-25.325793,1600,8851.584758
-28.643911,1600,8852.088118
-24.914842,1600,8852.582566
-30.387488,1600,8853.086576
-104.313621,1600,8950.958363
-115.581838,1600,8951.50228
-53.752692,1600,8952.109463
-115.679157,1600,8952.776076
-107.383574,1600,8953.431682
-40.015447,1600,9052.630593
-116.289391,1600,9053.176287
-136.957692,321,9053.278093
-41.869382,1600,9053.788028
-117.061737,1600,9054.359473
-60.540124,1600,9154.433657
-20.856554,1600,9154.961766
-40.548785,1600,9155.534739
-42.963623,1600,9156.254726
-16.032256,1600,9156.919584
-47.595956,1600,9260.159437
-91.244839,1600,9260.689597
-46.637825,1600,9261.169661
-45.925697,1600,9261.648313
-89.544731,1600,9262.132224
-36.349686,1600,9360.084314
-36.37457,1600,9360.986322
-36.94592,1600,9361.666349
-37.245757,1600,9362.33349
-46.617096,1600,9362.988158
-39.559378,1600,9467.896526
-36.339337,1600,9468.505855
-34.536483,1600,9469.132217
-34.392178,1600,9469.803522
-33.820882,1600,9470.506002
-27.441934,1600,9570.437092
-27.402702,1600,9571.301912
-27.199028,1600,9572.103602
-26.749522,1600,9572.936297
-30.924842,1600,9573.839058
-59.501227,1600,9673.491512
-38.547019,1600,9674.141435
-40.435299,1600,9674.700462
-52.205952,1600,9675.262118
-46.65462,1600,9675.808743
-97.185694,1600,9780.628035
-94.573968,1600,9781.177627
-53.122202,1600,9781.701539
-53.097589,1600,9782.221937
-30.408784,1600,9782.738971
-63.027541,1600,9886.635876
-67.530437,1600,9887.220828
-66.422595,1600,9887.795548
-64.840738,1600,9888.369033
-64.773713,1600,9888.950417
-56.723787,1600,9992.352151
-17.668422,1600,9992.913573
-22.99925,1600,9993.501117
-64.220217,1600,9994.136184
-25.209432,1600,9994.702804
-48.730135,1600,10098.990024
-51.441487,1600,10099.520435
-48.95304,1600,10100.029992
-49.49379,1600,10100.535401
-29.671814,1600,10101.067171
-58.487722,1600,10208.503921
-56.548343,1600,10209.156152
-59.148013,1600,10209.700293
-34.723441,1600,10210.25811
-33.991867,1600,10210.82176
-56.085285,1600,10311.938025
-119.414413,172,10311.994984
-52.266225,1600,10312.498282
-47.503948,1600,10312.999511
-48.002066,1600,10313.511185
-69.002874,1600,10412.552227
-64.521713,1600,10413.064833
-42.553692,1600,10413.565551
-70.766609,1600,10414.055659
-53.283816,1600,10414.550535
-113.29876,213,10517.803852
-47.312618,1600,10518.325725
-120.591155,62,10518.346602
-116.406841,69,10518.370278
-44.139677,1600,10518.889138
-49.146214,1600,10625.75108
-64.502818,1600,10626.275226
-64.841003,1600,10626.793095
-44.089053,1600,10627.365778
-50.09254,1600,10627.924486
-51.536877,1600,10728.504798
-47.227107,1600,10728.966946
-27.30512,1600,10729.432935
-51.212288,1600,10729.908298
-34.619419,1600,10730.431562
-43.300443,1600,10832.887707
-42.226943,1600,10833.419157
-40.377358,1600,10833.948688
-32.039213,1600,10834.509476
-42.861064,1600,10835.042868
-55.981382,1600,10933.044818
-103.776815,99,10933.079674
-64.606983,1600,10933.657271
-55.650149,1600,10934.190726
-36.74796,1600,10934.685724
-41.44325,1600,11039.451518
-39.836041,1600,11040.043447
-40.445391,1600,11040.606591
-40.997421,1600,11041.176894
-40.310974,1600,11041.749891
-40.548532,1600,11160.386338
-39.921861,1600,11161.270117
-41.3452,1600,11162.023704
-39.964763,1600,11162.657146
-40.529955,1600,11163.286144
-19.703032,1600,11276.365053
-38.091508,1600,11276.924142
-32.471611,1600,11277.485039
-26.17168,1600,11278.033148
-25.693829,1600,11278.583997
-23.905006,1600,11379.676338
-35.236739,1600,11380.229477
-25.825854,1600,11380.777965
-26.457098,1600,11381.299237
-13.545097,1600,11381.821055
-23.408854,1600,11477.795654
-32.265552,1600,11478.358897
-31.021482,1600,11479.119732
-28.759207,1600,11479.643468
-18.884322,1600,11480.160375
-42.484746,1600,11580.73455
-70.672506,1600,11581.222233
-66.693455,1600,11581.699149
-46.836755,1600,11582.206247
-47.340905,1600,11582.716079
-58.946235,1600,11682.529013
-42.710612,1600,11683.080215
-37.424715,1600,11683.653802
-44.232013,1600,11684.187942
-63.276095,1600,11684.736851
-28.603732,1600,11789.898097
-74.059613,1600,11790.517264
-37.954442,1600,11791.086066
-43.814508,1600,11791.637536
-44.38275,1600,11792.165696
-75.309949,1600,11894.4967
-74.739185,1600,11894.994799
-67.916923,1600,11895.489569
-67.137649,1600,11895.974995
-75.180245,1600,11896.472508
-56.742686,1600,12000.196772
-54.611864,1600,12000.860636
-56.388975,1600,12001.383808
-54.702439,1600,12001.989211
-56.294544,1600,12002.66144
-24.893738,1600,12117.74146
-45.67296,1600,12118.26979
-38.251131,1600,12118.799886
-51.860866,1600,12119.315361
-52.260865,1600,12119.838961
-44.605818,1600,12224.249918
-43.934971,1600,12224.800826
-42.205112,1600,12225.332534
-58.264368,1600,12225.90772
-39.465728,1600,12226.48623
-34.740092,1600,12331.988341
-33.919787,1600,12332.512045
-42.344684,1600,12333.017775
-40.697947,1600,12333.53
-39.045982,1600,12334.036926
-45.331847,1600,12443.18742
-45.239812,1600,12443.806043
-47.24301,1600,12444.434945
-46.898923,1600,12444.988903
-48.587201,1600,12445.520907
-37.666465,1600,12554.900183
-31.628708,1600,12555.475007
-31.144352,1600,12556.035004
-36.469605,1600,12556.650332
-37.602376,1600,12557.30454
-105.76379,69,12658.719468
-109.216839,69,12658.743812
-108.384473,92,12658.774732
-108.37354,93,12658.807014
-108.646296,80,12658.834944
-129.588819,79,12761.073848
-130.480722,79,12761.103925
-101.221174,224,12761.184972
-32.460571,1600,12761.717417
-129.653594,79,12761.745451
-117.946475,89,12867.054493
-57.541048,1600,12867.595892
-121.267299,98,12867.630639
-129.910889,150,12867.681512
-114.345692,91,12867.713678
-70.149875,1600,12971.188579
-71.550502,1600,12971.745638
-25.025073,1600,12972.264922
-70.078802,1600,12972.808449
-71.307866,1600,12973.368721
-65.92485,1600,13073.625674
-62.390537,1600,13074.113065
-61.140024,1600,13074.599532
-67.805881,1600,13075.086464
-68.637617,1600,13075.572626
-46.013025,1600,13168.09934
-85.436698,1600,13168.584886
-91.061624,1600,13169.073488
-88.049869,1600,13169.560671
-51.08781,1600,13170.029565
-39.181891,1600,13262.99015
-77.369273,1600,13263.4908
-77.523637,1600,13263.977885
-73.309221,1600,13264.44901
-96.222903,1600,13264.92243
-51.920976,1600,13358.05761
-21.676966,1600,13358.574422
-15.595472,1600,13359.090786
-56.290221,1600,13359.591089
-15.808838,1600,13360.084092
-63.352828,1600,13453.369463
-39.266321,1600,13453.86215
-44.13659,1600,13454.341934
-53.943971,1600,13454.818405
-84.546123,1600,13455.315919
-55.874163,1600,13548.639558
-91.97109,1600,13549.1548
-42.578636,1600,13549.703928
-50.330388,1600,13550.218297
-55.503576,1600,13550.713048
-61.009308,1600,13645.394053
-84.90104,1600,13645.898991
-64.784128,1600,13646.413516
-56.778425,1600,13646.939148
-57.547229,1600,13647.448926
-62.382063,1600,13738.826144
-52.432464,1600,13739.344075
-53.620314,1600,13739.844461
-53.167323,1600,13740.335724
-53.146854,1600,13740.82767
-122.172759,119,13833.005923
-70.813752,1600,13833.497824
-119.242497,79,13833.524066
-60.817691,1600,13834.043661
-53.422419,1600,13834.534579
-45.66228,1600,13924.528594
-77.368554,1600,13925.002854
-93.452939,1600,13925.522577
-76.541125,1600,13926.010205
-66.734837,1600,13926.488923
-59.376259,1600,14014.901841
-15.714286,1600,14015.404925
-61.113044,1600,14015.888265
-55.373925,1600,14016.380703
-21.224276,1600,14016.880667
-31.114873,1600,14105.135463
-30.106213,1600,14105.640198
-29.469803,1600,14106.141955
-30.332988,1600,14106.644091
-36.361446,1600,14107.141171
-127.177076,161,14195.555929
-104.817009,1600,14196.036387
-130.860797,111,14196.070936
-104.932898,1600,14196.607904
-78.989907,1600,14197.093671
-33.356163,1600,14286.446478
-34.264525,1600,14286.93452
-33.873154,1600,14287.438218
-33.056748,1600,14287.921752
-33.63013,1600,14288.436407
-30.99112,1600,14376.232951
-45.007076,1600,14376.715809
-44.5033,1600,14377.187842
-29.692518,1600,14377.678244
-29.012105,1600,14378.155505
-58.524489,1600,14466.861909
-101.657884,337,14466.967448
-41.853473,1600,14467.449253
-61.091298,1600,14467.929824
-52.741229,1600,14468.457544
-73.53489,1600,14556.949581
-80.528679,1600,14557.441671
-72.777188,1600,14557.914082
-61.717976,1600,14558.382383
-72.899456,1600,14558.932884
-24.193865,1600,14646.344039
-19.605668,1600,14646.836462
-23.84703,1600,14647.315034
-23.661155,1600,14647.792822
-21.545361,1600,14648.272881
-20.221412,1600,14736.511671
-19.735962,1600,14737.033377
-19.72699,1600,14737.58252
-20.348555,1600,14738.084331
-22.126144,1600,14738.648295
-46.666846,1600,14826.689087
-93.355558,1600,14827.174461
-86.072257,1600,14827.670062
-128.492354,161,14827.720844
-127.164613,142,14827.766109
-121.171001,99,14915.520493
-113.028098,137,14915.562156
-122.977644,131,14915.602272
-122.488691,1600,14916.116883
-122.406411,101,14916.148218
-132.820448,443,15004.579442
-159.384918,661,15004.78724
-33.370214,1600,15005.280318
-133.134192,170,15005.336313
-121.11615,110,15005.373145
-53.141608,1600,15093.224811
-78.20689,1600,15093.70505
-79.502351,1600,15094.182362
-84.070146,1600,15094.673546
-77.48105,1600,15095.157698
-61.258338,1600,15183.37693
-55.358958,1600,15183.875896
-83.949229,1600,15184.355613
-69.533364,1600,15184.840789
-71.369358,1600,15185.364212
-80.726719,1600,15273.135232
-37.334906,1600,15273.644691
-20.881829,1600,15274.143024
-34.06422,1600,15274.66268
-85.594053,1600,15275.143789
-67.625721,1600,15362.661533
-8.453387,1600,15363.178833
-7.862824,1600,15363.664835
-8.69084,1600,15364.167462
-83.198426,1600,15364.65552
-112.048842,53,15451.909354
-36.672854,1600,15452.391503
-115.075722,81,15452.417728
-47.4773,1600,15452.897665
-50.058529,1600,15453.374245
-34.691871,1600,15542.036258
-34.849741,1600,15542.512435
-33.094622,1600,15543.006305
-69.673154,1600,15543.488427
-35.473848,1600,15543.982696
-65.036692,1600,15631.857158
-57.507502,1600,15632.373241
-20.416086,1600,15632.862983
-20.202576,1600,15633.351236
-20.031841,1600,15633.839185
-18.571953,1600,15722.086642
-20.203432,1600,15722.59667
-95.152743,1600,15723.089736
-13.692468,1600,15723.578002
-16.945278,1600,15724.063222
-77.514266,1600,15812.517328
-77.98784,1600,15812.998999
-76.940012,1600,15813.474925
-77.124535,1600,15813.954249
-73.902232,1600,15814.43044
-52.512988,1600,15902.729122
-51.303475,1600,15903.211283
-54.234259,1600,15903.697433
-52.077979,1600,15904.180862
-49.001378,1600,15904.659506
-54.380182,1600,15995.120692
-52.220805,1600,15995.608431
-62.284534,1600,15996.079066
-61.766445,1600,15996.549452
-43.706261,1600,15997.041131
-39.582,1600,16085.41172
-38.979027,1600,16085.889069
-46.378901,1600,16086.397183
-38.67881,1600,16086.873389
-35.272741,1600,16087.354529
-67.33431,1600,16177.157711
-4.49362,1600,16177.70543
-67.813393,1600,16178.220732
-65.571666,1600,16178.71528
-5.440633,1600,16179.323374
-20.471309,1600,16269.407964
-104.709462,192,16269.469119
-111.368866,167,16269.526396
-102.338228,181,16269.585812
-108.137317,151,16269.635473
-40.11004,1600,16359.145738
-35.095,1600,16359.647324
-39.897897,1600,16360.129402
-11.275682,1600,16360.655981
-10.469459,1600,16361.138822
-38.069512,1600,16450.785743
