#{"t_start": 1733274803.39025, "env_id": "BipedalWalker-v3"}
r,l,t
-99.1667,94,5.122139
-97.297847,102,5.146984
-99.701213,66,5.163214
-97.152801,98,5.186549
-98.189393,96,5.209722
-89.981059,212,11.509138
-94.668253,235,11.574169
-93.990977,200,11.628368
-88.72032,364,11.727254
-92.190113,182,11.775333
-29.305949,1600,18.549328
-33.564531,1600,18.967556
-26.371532,1600,19.353259
-34.999438,1600,19.753879
-51.054368,1600,20.138005
-61.551559,1600,26.188949
-56.468662,1600,26.600745
-50.39093,1600,27.008941
-64.347502,1600,27.417727
-63.629482,1600,27.846877
-105.502997,1600,34.006166
-126.198786,1600,34.397117
-105.664977,1600,34.797374
-88.752176,1600,35.208525
-118.102785,1600,35.70806
-100.931576,122,41.433271
-103.355689,122,41.473102
-103.415954,193,41.529628
-95.067073,276,41.596351
-88.099029,593,41.747073
-130.691224,1600,47.800416
-106.245401,1600,48.217835
-99.368522,1600,48.617759
-103.871159,1600,49.000957
-128.811167,1600,49.410621
109.675932,1600,55.375031
106.856753,1600,55.790515
105.033247,1600,56.202682
113.921485,1600,56.61038
113.875507,1600,57.031766
-104.7967,103,62.659794
-107.482461,136,62.695227
-105.696575,164,62.73694
-100.891638,144,62.773991
-99.599872,334,62.860081
-98.86428,68,68.771339
-96.03196,83,68.795416
-98.500505,68,68.815871
-97.147214,76,68.838314
-94.26117,81,68.862013
158.20996,1600,75.111249
147.154122,1600,75.565428
156.413226,1600,76.019169
157.257317,1600,76.509033
176.667689,1600,76.983152
-121.152792,1600,83.56525
-115.175915,84,83.589544
-120.425894,1600,84.100037
-123.100221,130,84.142633
-130.551115,91,84.169925
-90.722684,1600,91.220743
-97.801207,1600,91.691925
-93.28848,1600,92.15486
-90.737369,1600,92.710142
-101.51386,1600,93.231777
-67.945336,1600,100.553702
-68.407732,1600,101.138992
-68.535897,1600,101.669871
-66.376775,1600,102.197018
-108.807035,44,102.212655
-99.641449,56,109.546549
-100.629947,91,109.578033
-100.336473,91,109.612033
-101.819158,68,109.635976
-100.180765,91,109.669416
-107.688765,35,117.184132
-107.681412,35,117.197897
-107.734476,35,117.211538
-107.716561,35,117.225035
-107.796939,35,117.23924
-70.950968,1600,125.933965
-62.481007,1600,126.643705
-81.571043,1600,127.29312
-34.553221,1600,128.052789
-70.242234,1600,128.708662
-112.245189,1600,138.794549
-109.236718,110,138.841059
-100.966383,1600,139.497852
-109.639583,1600,140.110244
-170.207335,694,140.389092
-70.062581,1600,149.238798
-76.075333,1600,149.835991
-103.662883,287,149.944256
-104.192825,249,150.037294
-59.997176,1600,150.65251
-104.307089,134,158.973739
-105.173098,130,159.030344
-108.068086,138,159.08419
-108.130276,135,159.135915
-103.830536,134,159.186133
-110.820378,48,167.304679
-110.513226,48,167.324883
-110.612545,47,167.343664
-110.616133,47,167.362066
-110.597767,47,167.380822
5.903267,1600,176.811874
8.764259,1600,177.484926
2.164611,1600,178.142351
15.732223,1600,178.795449
16.82641,1600,179.438708
50.694415,1600,188.413854
-93.674328,353,188.549793
60.014124,1600,189.193541
60.330781,1600,189.787979
38.939828,1600,190.388316
-65.213139,1600,199.776423
-64.915883,1600,200.618506
-64.951621,1600,201.304722
-64.188997,1600,201.989198
-64.974721,1600,202.652469
58.424098,1600,211.362972
51.185286,1600,211.95033
44.15794,1600,212.56734
53.473608,1600,213.387392
47.74545,1600,214.082734
-103.410504,111,223.020733
-104.422358,106,223.06443
-103.246038,114,223.109177
-101.089135,112,223.15263
-101.961793,110,223.197086
5.99952,1600,231.626969
8.900855,1600,232.195372
32.963777,1600,232.769986
20.355129,1600,233.369768
43.259664,1600,233.951366
-49.32333,927,241.720529
123.051262,1600,242.289999
-108.692566,227,242.372637
-111.773109,96,242.408083
119.601088,1600,242.95862
-49.301828,578,250.608891
-97.390293,189,250.67366
-96.326215,159,250.737053
-54.790592,713,251.017869
-101.008391,103,251.056635
-101.731049,85,259.248599
48.34261,1600,259.832397
49.321046,1600,260.442775
54.824198,1600,260.999809
41.018402,1600,261.895252
-94.883264,202,270.338949
137.680924,1600,271.048707
119.118198,1600,271.684236
124.895329,1600,272.263524
140.06895,1600,272.858502
-98.080865,1600,284.138727
-108.649746,1600,284.942145
-103.210795,1600,285.775738
-105.6926,1600,286.535731
-105.48952,1600,287.270761
-110.704633,1600,296.619021
-111.742309,1600,297.220984
-105.814962,1600,297.900012
-105.88313,1600,298.51349
-105.468705,1600,299.212506
-99.911654,1600,308.591386
-99.091375,1600,309.145403
-100.028568,1600,309.716499
-98.639612,1600,310.332525
-99.549437,1600,310.892153
-100.490491,1600,319.760923
-100.482689,1600,320.453394
-100.413924,1600,321.060142
-100.485612,1600,321.742823
-100.469558,1600,322.389695
-118.280248,1600,331.100841
-78.806632,1600,331.689869
-116.825871,1600,332.234525
-81.793222,1600,332.844423
-77.767872,1600,333.452608
-114.060053,168,341.841804
-113.529806,165,341.897367
-114.440622,165,341.952255
-113.708437,166,342.082858
-113.733441,166,342.160943
-133.001086,374,350.974917
-155.526299,367,351.120192
-120.691084,180,351.200806
-146.374823,408,351.370592
-144.850557,317,351.493492
-116.163158,102,360.954726
-117.909364,124,361.001695
-116.164743,102,361.040602
-115.74481,102,361.080229
-117.95013,125,361.12491
-141.085498,1600,370.497227
-151.539626,1600,371.156208
-157.484991,1600,371.808198
-165.903053,1600,372.440577
-136.269349,311,372.566899
-85.756642,1600,386.109388
-84.598328,1600,386.814708
-76.850479,1600,387.525177
-80.774519,1600,388.34955
-81.864676,1600,389.003401
-116.956056,1600,398.167111
-121.352604,1600,398.806006
-117.941362,1600,399.432466
-127.907428,1600,400.041537
-130.569515,1600,400.664894
-141.487618,216,409.897633
-151.951389,1600,410.550602
-125.794318,138,410.603572
-122.006298,122,410.650273
-119.280674,173,410.713464
-128.340146,1600,420.187346
-123.724842,1600,421.022349
-116.006225,1600,421.76236
-123.707775,1600,422.498933
-133.595183,1600,423.181621
-141.8385,1600,432.649974
-126.64937,1600,433.319343
-130.720779,1600,433.960383
-127.904648,1600,434.720833
-122.939952,1600,435.448094
-109.539295,45,445.393263
-111.544631,73,445.42865
-109.479883,45,445.451036
-109.481062,45,445.471898
-109.577144,45,445.494221
-84.765693,1600,455.505931
-104.202324,1600,456.579052
-84.834729,1600,457.335033
-84.951129,1600,457.999235
-82.136824,1600,458.627816
-108.417061,53,467.399367
-108.579167,53,467.422269
-109.206919,53,467.443126
-109.068838,53,467.464648
-108.453171,53,467.485656
-91.819137,1600,476.379752
-132.773525,1600,477.024322
-104.290151,66,477.050592
-102.510751,75,477.080505
-104.165915,66,477.108279
-114.374116,56,485.253372
-114.370024,56,485.275477
-114.33112,56,485.297096
-114.398389,56,485.321166
-114.327585,56,485.344505
-98.764638,67,493.399592
-99.603689,67,493.425057
-102.172604,60,493.447564
-101.958838,58,493.46915
-102.447535,60,493.492193
-98.293423,63,501.434394
-98.021433,65,501.459035
-99.254849,61,501.480416
-99.381557,60,501.502116
-98.918787,62,501.525071
-112.630769,1600,509.704864
-108.826547,309,509.808095
-131.876587,1600,510.368097
-107.457807,1600,510.920203
-102.133016,123,510.965313
-99.841254,146,518.74258
-88.692147,198,518.814556
-97.085724,207,518.889168
-97.802017,145,518.940277
-92.956176,338,519.054099
-96.544013,63,527.144716
-94.275215,89,527.179072
-100.339826,55,527.201435
-94.107849,90,527.235346
-98.47331,62,527.258858
-128.60644,94,537.234492
-129.310946,167,537.31663
-127.997543,133,537.384306
-129.855896,151,537.455064
-128.636415,93,537.50611
-118.213,40,550.302914
-118.217839,40,550.330781
-118.219871,40,550.361143
-118.245778,40,550.392364
-118.229334,40,550.417612
-112.036739,39,560.259453
-112.025733,39,560.280736
-112.010861,39,560.300528
-111.550657,38,560.319865
-112.035192,39,560.339772
-98.3562,71,569.611727
-98.223723,72,569.640943
-98.371029,71,569.671648
-97.712397,68,569.69947
-97.89181,68,569.728244
105.418144,1600,578.892701
105.246354,1600,579.556558
97.208572,1600,580.228177
106.465165,1600,580.86696
105.306896,1600,581.457573
-67.221554,1600,592.476736
-67.889566,1600,593.071448
-122.501336,47,593.091568
-122.512454,47,593.113409
-122.502513,47,593.131444
-114.955358,39,601.656939
-114.957134,39,601.673485
-114.976108,39,601.689378
-114.942261,39,601.706419
-114.976906,39,601.721592
-94.616068,1600,610.328897
-94.892921,1600,610.996493
-95.677377,1600,611.580099
-94.405813,1600,612.172993
-94.659003,1600,612.773315
-91.032652,1600,624.4062
-98.411795,1600,625.034442
-91.447047,1600,625.687593
-98.370938,1600,626.363974
-98.394102,1600,626.985422
-95.585438,1600,635.812808
-105.080245,1600,636.483959
-107.591272,1600,637.145084
-105.046702,1600,637.841178
-105.029299,1600,638.501875
-85.888265,1600,647.689347
-86.486254,1600,648.287429
-89.612174,1600,648.940365
-85.869107,1600,649.537218
-89.812722,1600,650.192051
-91.025604,1600,658.955374
-91.035249,1600,659.618947
-91.042376,1600,660.247979
-91.015475,1600,660.888889
-91.03344,1600,661.517598
-98.487033,1600,670.71441
-98.485035,1600,671.418119
-98.460907,1600,672.040594
-98.413949,1600,672.766372
-98.459085,1600,673.388632
-103.474487,92,681.516338
-102.869718,106,681.558537
-103.20877,91,681.592984
-104.346047,107,681.633496
-117.765023,244,681.722981
-88.866018,1600,690.840118
-94.962492,1600,691.693692
-91.832873,1600,692.47919
-95.19968,1600,693.222714
-94.659169,1600,693.945638
-121.422165,48,703.621939
-120.679507,47,703.640968
-121.33376,48,703.661115
-120.486557,47,703.68084
-121.340847,48,703.700751
-138.573296,1600,717.024378
-140.218108,1600,717.727359
-137.232872,1600,718.373562
-136.836827,1600,718.99739
-138.591575,1600,719.638754
-117.544952,46,728.496927
-118.207532,47,728.517319
-143.445604,1600,729.176605
-143.402037,1600,729.827591
-116.082149,1600,730.406934
-116.7364,1600,739.255694
-116.44126,1600,739.946951
-134.172659,1600,740.519822
-134.152387,1600,741.098106
-120.028297,1600,741.799705
-110.316416,1600,750.218751
-109.694098,1600,750.810832
-109.533406,1600,751.385963
-107.700687,1600,751.951606
-110.246805,1600,752.544146
-123.529632,1600,760.98045
-125.590824,1600,761.618401
-121.77374,1600,762.230668
-124.228041,1600,762.871609
-120.665852,1600,763.565653
-120.453073,1600,772.148731
-110.017124,1600,772.866
-111.785198,1600,773.609783
-119.356791,1600,774.250671
-113.674952,1600,774.88736
-127.410914,45,782.927928
-127.477288,45,782.946503
-127.469977,45,782.964914
-127.450313,45,782.983908
-126.941957,46,783.003134
-133.659121,1600,791.534657
-122.112932,1600,792.127651
-117.034168,82,792.162625
-123.940161,1600,792.755199
-123.306335,1600,793.322629
-126.179955,121,801.215008
-97.237375,1600,801.822092
-125.365878,127,801.869917
-125.394311,127,801.916664
-126.126281,121,801.962879
-104.905778,1600,810.285455
-104.25516,1600,811.094784
-108.963589,1600,811.685558
-111.387258,1600,812.253545
-103.705355,1600,812.845779
-117.401528,1600,821.293495
-117.410687,1600,821.850475
-114.27721,105,821.887054
-117.389651,1600,822.472636
-108.959638,134,822.519165
-96.51733,1600,830.827057
-96.041366,1600,831.423319
-96.018322,1600,832.033435
-95.971064,1600,832.644592
-95.940603,1600,833.270017
-105.921805,60,841.306949
-105.57813,59,841.330726
-105.901672,59,841.353536
-105.871167,60,841.377907
-106.515548,62,841.40204
-121.716599,1600,849.930929
-93.194628,1600,850.547597
-121.784155,1600,851.146889
-121.574837,1600,851.786749
-121.565979,1600,852.418762
-60.62524,1600,860.703426
-60.718626,1600,861.289812
-62.333417,1600,861.900807
-59.579704,1600,862.464433
-49.882141,1600,863.080855
-74.207076,1600,871.30295
-74.210377,1600,871.886888
-74.257376,1600,872.428683
-74.191037,1600,873.046618
-74.244473,1600,873.588167
-107.585087,1600,881.680068
-108.699201,1600,882.257349
-106.558831,1600,882.872213
-108.147136,1600,883.49811
-110.40281,1600,884.090362
-46.665878,1600,892.287944
-46.667287,1600,892.942262
-47.699168,1600,893.532069
-47.354469,1600,894.081251
-46.597748,1600,894.647724
-47.890349,1600,903.874476
-48.001352,1600,904.586066
-47.765177,1600,905.261829
-47.745684,1600,905.942087
-47.780714,1600,906.676383
-90.945993,1600,917.000182
-90.972766,1600,917.98836
-90.947898,1600,918.715357
-91.003763,1600,919.466183
-90.967582,1600,920.206454
-72.825895,1600,931.490718
-72.776416,1600,932.203356
-72.851338,1600,932.976649
-72.871269,1600,933.780401
-72.766,1600,934.740308
-53.120022,1600,944.969693
-53.100887,1600,945.684062
-53.138242,1600,946.438057
-53.234825,1600,947.081145
-53.185931,1600,947.700581
-54.942351,1600,956.925525
-55.229695,1600,957.525903
-55.452608,1600,958.16402
-55.356488,1600,958.790012
-55.565268,1600,959.381374
-35.418688,1600,968.190006
-31.560331,1600,968.790495
-34.319292,1600,969.488389
-18.120432,1600,970.09559
-36.452138,1600,970.749731
-97.830811,177,979.227521
-92.22236,188,979.307763
-72.310642,425,979.46925
-46.654332,958,979.830471
-89.104257,239,979.922244
36.375552,1600,988.947439
39.910519,1600,989.573666
-96.576311,420,989.731644
-108.383375,1600,990.423517
33.073711,1600,991.066683
-113.187207,47,999.219038
-113.153066,47,999.238259
-113.229583,47,999.257652
-113.215202,47,999.276688
-113.195515,47,999.29528
-107.142666,1600,1008.370158
-109.105747,1600,1009.013689
-109.527728,1600,1009.638263
-109.545697,1600,1010.275073
-105.643273,1600,1010.89365
-106.8586,1600,1019.700927
-106.980987,1600,1020.373015
-106.90847,1600,1021.014756
-106.883968,1600,1021.633882
-106.935127,1600,1022.260935
-86.669114,1600,1031.511519
-83.749861,1600,1032.224387
-63.946975,1600,1032.802537
-83.144505,1600,1033.381873
-88.175618,1600,1033.969805
-146.161133,1600,1043.188746
-147.365781,1600,1043.884062
-147.351925,1600,1044.610417
-147.158201,1600,1045.345611
-147.264707,1600,1046.2122
-110.191417,1600,1057.923302
-125.91706,1600,1058.774034
-125.895624,1600,1059.683745
-125.889542,1600,1060.371654
-125.884136,1600,1061.084281
-94.954854,1600,1072.670617
-94.685824,1600,1073.558114
-94.409743,1600,1074.61421
-94.926075,1600,1075.719624
-94.664232,1600,1076.633655
-109.241904,1600,1087.90285
-109.962638,1600,1088.557059
-109.016315,1600,1089.310399
-109.005537,1600,1090.031992
-107.955725,1600,1090.692928
-152.178047,332,1099.784323
-158.51143,1600,1100.457211
-144.9955,250,1100.552863
-158.41271,1600,1101.206165
-160.638222,420,1101.367829
-143.881924,230,1110.944504
-143.083811,221,1111.035307
-142.519294,217,1111.127431
-164.355709,1600,1111.768685
-159.980078,404,1111.938461
-145.207903,1600,1122.5952
-153.22289,1600,1123.421636
-145.20864,1600,1124.424695
-150.749605,1600,1125.206055
-154.123662,1600,1125.933482
-163.479607,1600,1137.581898
-164.087293,1600,1138.34738
-164.013421,1600,1139.156839
-163.338618,1600,1139.859935
-164.048507,1600,1140.671045
-143.464084,1600,1151.691583
-142.098948,1600,1152.316935
-141.211361,1600,1152.943838
-140.554537,1600,1153.560167
-140.584342,1600,1154.18186
-154.720122,1600,1164.407941
-151.752268,1600,1165.153486
-163.687521,1600,1167.147509
-156.811108,1600,1168.982668
-142.276775,1600,1170.326125
-142.735246,1600,1181.661171
-142.668449,1600,1182.365576
-142.203239,1600,1183.103952
-142.719078,1600,1183.825206
-143.336437,1600,1184.501758

-107.163322,380,153.772508
-97.817502,101,153.852776
-102.528122,125,153.952099
-102.038061,100,154.034099
-99.752369,102,154.116486
-137.08414,737,154.68979
-140.388874,697,155.238219
-100.022887,104,155.327862
-103.311416,127,155.50077
-178.85044,1176,156.532051
-114.565525,265,156.767609
-131.301327,514,157.192057
-139.552571,708,157.754279
-105.90925,107,157.839096
-116.702437,314,158.085165
-128.280467,513,158.501237
-119.315272,385,158.815512
-104.608098,137,159.218733
-122.21367,860,159.910077
-101.234387,918,160.653689
-97.53037,414,160.973235
-96.318975,122,161.065678
-100.106807,122,161.15745
-98.318088,124,161.256772
-83.561153,177,161.393635
-99.764176,95,161.469843
-31.24135,804,162.086644
-87.731127,377,162.384619
-103.452361,88,162.451884
-109.634212,112,162.536608
-101.579141,91,162.60913
-100.682576,135,162.714373
-97.349856,117,162.806045
-101.730378,203,162.990157
-70.419836,700,163.538466
-98.451397,152,163.662193
-104.461708,87,163.731325
-103.226255,92,163.801726
-115.112767,118,163.894967
-107.024558,101,163.974278
-105.797935,83,164.039591
-100.90893,99,164.118161
-105.449516,69,164.172816
-103.690529,80,164.233366
-100.393838,74,164.291695
-106.846791,71,164.373362
-103.886003,74,164.439904
-102.907992,67,164.496644
-102.347457,89,164.57287
-104.328997,80,164.642973
-115.625364,150,164.769788
-88.682155,121,164.871538
-106.176559,138,164.981388
-111.615575,71,165.03805
-103.406859,115,165.126015
-110.396864,55,165.170143
-124.449263,140,165.280284
-120.424848,90,165.42554
-107.014217,96,165.515499
-102.271093,98,165.592455
-114.648219,64,165.64237
-116.67627,63,165.695005
-116.316476,63,165.745888
-99.077232,98,165.824038
-115.813218,86,165.890932
-113.996256,61,165.937809
-110.805215,58,165.985329
-116.273831,53,166.02722
-117.49859,80,166.098156
-186.84004,780,166.749359
-140.471363,1600,168.069902
-111.034487,49,168.108459
-122.166892,1600,169.37767
-109.850094,55,169.420597
-179.253887,1492,170.699503
-98.191679,104,170.787045
-99.972679,94,170.866491
-106.809277,37,170.898215
-95.185326,206,171.066366
-99.221905,80,171.130489
-109.920493,51,171.174199
-110.523448,62,171.228059
-97.636787,80,171.293371
-106.845247,40,171.327782
-98.008907,73,171.386566
-93.934369,109,171.477901
-95.000814,94,171.55426
-95.013101,85,171.624569
-107.890962,45,171.66099
-91.38221,93,171.738871
-107.077064,40,171.776845
-93.813841,110,171.87602
-92.315218,170,172.019165
-98.565332,83,172.087729
-82.627547,1600,173.572313
-99.929446,387,173.92855
-44.586555,515,174.42061
-82.820141,136,174.54157
-51.279305,530,174.996403
-104.411115,94,175.081792
-2.947317,1600,179.965303
-86.661532,994,180.783947
-89.197327,138,180.898686
-96.704819,102,180.983892
-67.482957,317,181.23808
-30.652892,808,181.879894
-87.232404,226,182.09067
-64.043809,386,182.418723
-111.0628,122,182.521644
-104.732694,127,182.639185
-91.549956,117,182.740774
-99.882402,113,182.835542
-97.531755,108,182.924147
-74.127459,238,183.112928
-95.132506,112,183.205552
-96.081098,103,183.286593
-99.890052,81,183.352949
-99.371242,101,183.436059
-98.60251,97,183.512348
-104.975849,85,183.581283
-93.125373,96,183.667247
-100.039789,86,183.736159
-99.283751,77,183.799998
-102.28639,58,183.847107
-99.843208,99,183.92905
-99.187092,73,183.994482
-98.113208,102,184.083138
-99.385826,57,184.133211
-92.829262,124,184.231724
-93.742418,136,184.345246
-101.538633,104,184.430604
-97.558995,83,184.500502
-97.913981,85,184.571899
-93.875408,136,184.680728
-95.318838,122,184.778702
-99.511835,94,184.85682
-99.100799,89,184.931323
-99.684545,90,185.004575
-96.158016,130,185.106978
-99.662892,54,185.150326
-97.911989,67,185.204453
-100.283378,50,185.248257
-62.303025,594,185.850243
-98.412569,94,185.926388
-99.07787,93,186.001706
-61.229637,1098,186.906425
36.707322,1600,190.762761
-40.970435,1600,192.095355
-22.186555,1600,193.381045
-65.804441,1600,194.650894
-90.776645,1600,195.878335
-89.669679,1600,197.270536
-91.846812,1600,202.751108
-66.758057,1600,204.144146
-97.574139,94,204.21617
6.362078,1600,205.470602
47.88457,1600,206.683296
-71.365229,523,207.091951
-99.561069,83,207.158987
-97.922187,133,207.264273
-105.155748,75,207.324662
-104.203708,75,207.384054
-97.281111,107,207.468
-50.214019,645,208.013342
-88.958135,225,208.213322
-96.536965,96,208.30065
-91.355027,140,208.418519
-97.422825,78,208.488453
-97.096986,93,208.573428
-105.41212,60,208.623127
155.970025,1600,209.935656
-102.529582,104,210.016651
71.762339,1600,214.586741
-99.086664,99,214.662257
-102.67221,95,214.73644
-28.403722,1600,216.292085
-48.536528,1600,217.832988
50.476078,1600,219.251149
70.928241,1600,220.51765
-84.641983,411,220.847488
-98.316279,77,220.908696
55.047787,1600,222.394935
54.54612,1600,223.956737
-102.109215,94,224.030418
84.082087,1600,225.299993
0.605422,1600,226.547261
-98.829629,593,227.000658
-109.384881,48,227.039811
-106.686531,143,227.147361
-105.175301,136,227.254911
-110.376055,52,227.295701
-110.995713,55,227.3412
40.138477,1600,228.6337
36.357506,1600,229.878832
-125.639364,164,230.00196
8.05706,1600,234.107313
-97.338959,93,234.176385
15.175857,1600,235.374356
13.232469,1600,236.541617
-89.413101,1262,237.494203
60.870295,1600,238.703059
-97.465854,90,238.771259
-113.015069,92,238.839578
-117.725832,94,238.91014
-102.628548,64,238.958875
-93.624842,662,239.460394
10.100829,1600,240.639842
-78.023885,532,241.028377
-95.523493,96,241.100938
-67.790188,690,243.15503
-93.612133,251,243.335868
-103.934765,82,243.399324
-103.166092,72,243.453564
-99.018252,72,243.506442
-107.810828,63,243.553318
-98.036975,129,243.650273
-106.244004,55,243.692232
-103.880388,69,243.745193
-99.785586,146,243.854073
-104.36334,71,243.905964
-104.128907,74,243.961046
-103.844375,102,244.036652
-106.11576,192,244.178246
-127.884819,204,244.325102
-36.282467,1600,245.485392
-26.522641,1600,246.640607
-87.723719,465,246.989387
72.6214,1600,248.262718
73.157997,1600,249.431159
-29.263545,1145,250.301982
-94.974792,136,250.403835
-68.383387,623,251.530475
-106.126831,73,251.588158
-104.280282,89,251.654825
-72.697562,552,252.109016
-106.738738,62,252.160881
-106.935689,44,252.200777
-108.838153,41,252.24259
-106.612744,51,252.296024
-108.334022,94,252.39148
-109.311566,130,252.503285
-107.888004,54,252.546454
-108.48108,41,252.578202
-108.949937,42,252.612847
29.446903,1600,253.785199
65.629472,1600,255.024025
45.679769,1600,256.216785
59.438828,1600,257.735411
43.333794,1600,259.120286
10.875619,1600,263.158645
-37.972308,1600,264.593055
-107.001669,69,264.645882
-108.357498,34,264.674044
-17.812491,1600,265.894647
-109.023166,61,265.950776
-65.062166,1600,267.25836
-8.215051,1600,268.604779
-53.494162,1112,269.551688
117.479797,1600,273.699893
-107.041581,52,273.743066
-106.117561,55,273.788649
-107.076353,53,273.831641
16.084401,1129,275.08028
-116.985714,81,275.174383
-112.053498,59,275.255341
-104.212967,118,275.421094
-80.677845,380,275.899141
-92.61303,127,276.005116
-41.23066,570,276.71127
-101.805352,76,276.772229
-107.291641,73,276.832209
0.78601,913,277.732399
-115.154229,67,277.83139
-115.578264,69,277.89785
-113.005315,59,277.946332
-112.399787,58,277.995009
-125.812136,174,278.127843
-112.399411,110,278.210692
-114.130632,100,278.289378
-123.541963,91,278.411937
-123.715882,110,278.582006
-115.091472,51,278.74135
-116.75732,50,278.800564
-116.405385,56,278.863751
-116.732687,57,278.915096
-123.228305,82,278.995745
-117.716003,63,279.135524
-117.464702,74,279.208185
-120.033208,66,279.264883
-119.798304,63,279.437553
-121.522478,71,279.644416
-112.998732,101,279.779647
-113.212833,43,279.831577
-135.512437,143,280.006397
-109.676641,42,280.043262
-128.361045,119,280.154095
-140.736,186,280.319059
-124.460332,99,280.453191
-127.464359,110,280.559692
-136.667558,125,280.66972
-119.015259,88,280.744384
-139.744967,187,280.931351
-142.167121,212,281.138994
-145.750413,241,281.356059
-114.723424,103,281.473342
-146.289817,254,281.701574
-140.143844,184,281.86649
-154.924624,343,282.143553
-143.986129,230,282.333624
-138.783902,168,282.462908
-143.34949,222,282.659269
-140.142227,203,282.857664
-151.608666,337,283.15817
-154.670743,1600,288.389248
-148.581201,1600,289.840652
-158.997767,1600,291.203558
-137.675586,1600,292.566895
-124.365818,1600,293.990381
-114.816706,1600,295.410484
-112.304803,1600,300.009875
-109.234889,1600,301.606118
-108.060658,1600,302.979493
-104.334751,1600,304.380016
-107.901599,1600,305.803866
-117.818744,71,305.860314
-108.239052,1600,307.159419
-100.929165,1600,311.311575
-102.673637,1600,312.55697
-102.536515,1600,313.75239
-101.085668,1600,314.998634
-102.324231,1600,316.176899
-105.036525,1600,317.812046
-103.404491,1600,322.494604
-72.379257,1600,323.773139
-64.641743,1600,325.118253
-76.591163,1600,326.38407
-151.600744,902,327.102582
-120.337575,84,327.171711
-121.013707,104,327.25344
-109.918798,88,327.32543
-124.222941,177,327.463005
-117.746983,44,327.500183
-115.405533,38,327.533304
-156.822774,1047,328.394606
-120.593076,41,328.429024
-118.263207,39,328.462507
-112.678591,150,328.580692
-109.065808,47,328.621796
-121.413155,91,328.698054
-81.124517,1600,330.058699
-115.409411,74,330.120167
-116.956423,89,330.190936
-95.079795,1600,334.461634
-178.969182,1541,335.66865
-117.857894,93,335.74316
-120.028729,42,335.779612
-117.316039,38,335.80963
-124.006661,201,335.968983
-112.949516,79,336.033791
-110.746103,90,336.106453
-115.125157,137,336.214502
-113.18045,67,336.269676
-111.968644,80,336.34068
-114.438981,65,336.39448
-111.130928,63,336.448674
-114.092459,102,336.528224
-114.029681,34,336.605623
-115.449616,36,336.637032
-114.746592,35,336.666513
-115.629645,36,336.69701
-114.799361,35,336.727589
-117.097921,41,336.76143
-110.583806,118,336.857557
-112.34249,53,336.902769
-109.388715,86,336.973066
-111.516829,105,337.05487
-112.607922,99,337.13171
-118.412642,186,337.278929
-125.372438,272,337.500442
-111.861144,108,337.593292
-113.957725,122,337.741447
-114.569351,38,337.778205
-110.457002,74,337.844784
-117.520547,41,337.880004
-115.470483,42,337.915747
-114.128474,44,337.95707
-114.819101,42,337.994321
-114.616119,49,338.038074
-110.512946,76,338.107444
-111.460277,73,338.170707
-110.489358,80,338.238093
-110.516118,104,338.323732
-115.934762,138,338.468335
-150.168194,637,339.009635
-110.732372,103,339.09006
-112.82509,113,339.187747
-112.932499,141,339.334254
-110.439017,85,339.421505
-113.696795,139,339.533372
-114.389242,135,339.640081
-115.799025,125,339.737301
